Path: [4, 6, 8, 9] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[4, 6, 8, 9]])
Path: [9, 8, 6, 4] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[9, 8, 6, 4]])
Path: [4, 6, 8, 10] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[4, 6, 8, 10]])
Path: [10, 8, 6, 4] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[10, 8, 6, 4]])
Path: [4, 2, 1, 12] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[4, 2, 1, 12]])
Path: [12, 1, 2, 4] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[12, 1, 2, 4]])
Path: [6, 5, 7, 12] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[6, 5, 7, 12]])
Path: [12, 7, 5, 6] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[12, 7, 5, 6]])
Path: [1, 2, 4, 6] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[1, 2, 4, 6], [1, 3, 5, 6]])
Path: [6, 4, 2, 1] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[6, 4, 2, 1], [6, 5, 3, 1]])
Path: [1, 12, 11, 10] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[1, 12, 7, 10], [1, 12, 11, 10]])
Path: [10, 11, 12, 1] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[10, 7, 12, 1], [10, 11, 12, 1]])
Path: [2, 1, 12, 7] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[2, 3, 5, 7], [2, 1, 12, 7]])
Path: [7, 12, 1, 2] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[7, 12, 1, 2], [7, 5, 3, 2]])
Path: [3, 1, 12, 11] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[3, 5, 7, 11], [3, 1, 12, 11]])
Path: [11, 12, 1, 3] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[11, 12, 1, 3], [11, 7, 5, 3]])
Path: [5, 7, 10, 9] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[5, 6, 8, 9], [5, 7, 10, 9]])
Path: [9, 10, 7, 5] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[9, 8, 6, 5], [9, 10, 7, 5]])
Path: [6, 8, 10, 11] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[6, 5, 7, 11], [6, 8, 10, 11]])
Path: [11, 10, 8, 6] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[11, 7, 5, 6], [11, 10, 8, 6]])
Path: [8, 10, 7, 12] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[8, 10, 7, 12], [8, 10, 11, 12]])
Path: [12, 7, 10, 8] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[12, 7, 10, 8], [12, 11, 10, 8]])
Path: [9, 10, 11, 12] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[9, 10, 7, 12], [9, 10, 11, 12]])
Path: [12, 11, 10, 9] ; Dist: 3.0 ; Og.Dist: 3.0 ; traffic = 1 (Og. Path: [[12, 7, 10, 9], [12, 11, 10, 9]])
Path: [2, 4, 6, 8, 9] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[2, 4, 6, 8, 9]])
Path: [9, 8, 6, 4, 2] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[9, 8, 6, 4, 2]])
Path: [1, 12, 7, 10, 9] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[1, 12, 7, 10, 9], [1, 12, 11, 10, 9]])
Path: [9, 10, 7, 12, 1] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[9, 10, 7, 12, 1], [9, 10, 11, 12, 1]])
Path: [3, 5, 7, 10, 9] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[3, 5, 6, 8, 9], [3, 5, 7, 10, 9]])
Path: [9, 10, 7, 5, 3] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[9, 8, 6, 5, 3], [9, 10, 7, 5, 3]])
Path: [4, 2, 1, 12, 11] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[4, 6, 5, 7, 11], [4, 2, 1, 12, 11], [4, 6, 8, 10, 11]])
Path: [11, 12, 1, 2, 4] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[11, 12, 1, 2, 4], [11, 7, 5, 6, 4], [11, 10, 8, 6, 4]])
Path: [1, 3, 5, 6, 8] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[1, 2, 4, 6, 8], [1, 3, 5, 6, 8], [1, 12, 7, 10, 8], [1, 12, 11, 10, 8]])
Path: [8, 6, 5, 3, 1] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[8, 6, 4, 2, 1], [8, 6, 5, 3, 1], [8, 10, 7, 12, 1], [8, 10, 11, 12, 1]])
Path: [2, 3, 5, 7, 10] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[2, 3, 5, 7, 10], [2, 1, 12, 7, 10], [2, 4, 6, 8, 10], [2, 1, 12, 11, 10]])
Path: [10, 7, 5, 3, 2] ; Dist: 4.0 ; Og.Dist: 4.0 ; traffic = 1 (Og. Path: [[10, 7, 12, 1, 2], [10, 7, 5, 3, 2], [10, 11, 12, 1, 2], [10, 8, 6, 4, 2]])
